City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Popondetta,PG,84.42,overcast clouds,-8.7537,148.2534,Timos Transit House
622,Sao Jose De Ribamar,BR,75.58,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
626,Hadejia,NG,75.74,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
630,Vao,NC,77.58,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
633,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
635,Mandera,KE,88.03,moderate rain,3.9366,41.867,Hiren Hotel Mandera
640,Basay,PH,87.67,overcast clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
644,Bubaque,GW,76.05,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
652,Bandar-E Lengeh,IR,80.71,clear sky,26.5579,54.8807,کافی نت پارس
655,Biu,NG,75.07,overcast clouds,10.6129,12.1946,Emir's Palace
657,San Rafael Del Sur,NI,77.02,broken clouds,11.8485,-86.4384,Hospedaje El Chino
658,Kralendijk,BQ,78.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
