City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Provideniya,RU,64.3833,-173.3,8.47,93,6,3.31,clear sky
181,Lorengau,PG,-2.0226,147.2712,82.71,78,100,8.16,overcast clouds
182,Isangel,VU,-19.55,169.2667,78.89,75,49,10.98,scattered clouds
183,Toyooka,JP,35.5333,134.8333,63.73,86,100,20.27,light rain
184,Elizabeth City,US,36.2946,-76.2511,55.42,68,0,10.36,clear sky
185,Kavieng,PG,-2.5744,150.7967,83.62,69,100,6.6,overcast clouds
186,Sitka,US,57.0531,-135.33,37.29,81,0,5.75,clear sky
187,Gat,IL,31.61,34.7642,59.4,100,0,4.99,clear sky
188,Primo Tapia,MX,32.22,-116.9172,68.88,72,100,5.73,overcast clouds
189,Mount Isa,AU,-20.7333,139.5,87.57,35,40,11.5,scattered clouds
190,Vilhena,BR,-12.7406,-60.1458,67.95,99,100,2.77,overcast clouds
191,Diplo,PK,24.4667,69.584,101.62,8,0,9.01,clear sky
192,Saint-Leu,RE,-21.15,55.2833,86.83,72,3,4.74,clear sky
193,Meulaboh,ID,4.1363,96.1285,85.69,66,29,6.49,scattered clouds
194,Safford,US,32.834,-109.7076,58.12,14,0,3.44,clear sky
195,Krasnoselkup,RU,65.7,82.4667,28.04,93,100,7.14,light snow
196,Bereznik,RU,62.8551,42.7072,28.92,95,100,12.03,light snow
197,Leningradskiy,RU,69.3833,178.4167,-4.25,95,85,4.92,overcast clouds
198,Sao Tome,ST,0.3365,6.7273,82.27,78,85,3.53,light rain
199,Kupang,ID,-10.1667,123.5833,83.88,74,40,6.13,scattered clouds
200,South Lake Tahoe,US,38.9332,-119.9844,54.27,48,0,8.05,clear sky
201,Dikson,RU,73.5069,80.5464,17.2,83,100,11.41,overcast clouds
202,Gazimurskiy Zavod,RU,51.5461,118.3266,29.71,86,100,7.23,snow
203,Cartagena,CO,10.3997,-75.5144,79.0,83,100,13.82,overcast clouds
204,Samarai,PG,-10.6167,150.6667,83.73,78,100,9.08,heavy intensity rain
205,Barrow,US,71.2906,-156.7887,-0.38,78,100,20.71,haze
206,Luanda,AO,-8.8368,13.2343,80.06,82,100,2.04,overcast clouds
207,Karaton,ID,-6.3424,106.1045,82.29,77,88,4.59,overcast clouds
208,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,98,100,4.9,overcast clouds
209,Hambantota,LK,6.1241,81.1185,84.34,68,100,10.65,overcast clouds
210,Roald,NO,62.5833,6.1333,43.75,60,75,9.22,broken clouds
211,Am Timan,TD,11.0297,20.2827,82.35,10,31,14.56,scattered clouds
212,Ushtobe,KZ,45.2514,77.9838,57.92,30,100,12.44,overcast clouds
213,Quelimane,MZ,-17.8786,36.8883,82.92,77,9,5.23,clear sky
214,Wagar,SD,16.1525,36.2032,74.34,42,5,15.39,clear sky
215,Esperance,AU,-33.8667,121.9,74.53,57,100,11.43,moderate rain
216,Sao Filipe,CV,14.8961,-24.4956,69.06,73,99,2.48,overcast clouds
217,Santa Cruz,BO,-17.8,-63.1667,62.06,88,75,4.61,broken clouds
218,Hojai,IN,26.0,92.8667,93.51,32,2,8.88,clear sky
219,Walvis Bay,NA,-22.9575,14.5053,64.18,79,2,4.47,clear sky
220,Airai,TL,-8.9266,125.4092,68.5,81,78,2.17,broken clouds
221,Rio Grande,BR,-32.035,-52.0986,60.94,73,99,17.38,overcast clouds
222,Hasaki,JP,35.7333,140.8333,64.8,82,100,30.36,overcast clouds
223,Asau,RO,46.4333,26.4,49.95,37,1,4.72,clear sky
224,Hualmay,PE,-11.0964,-77.6139,69.12,86,98,6.6,overcast clouds
225,Hami,CN,42.8,93.45,50.5,19,100,2.46,overcast clouds
226,Formosa Do Rio Preto,BR,-11.0483,-45.1931,74.07,71,100,3.56,overcast clouds
227,Huaicheng,CN,23.9051,112.1931,78.94,70,87,3.96,overcast clouds
228,Bengkulu,ID,-3.8004,102.2655,86.0,62,96,10.87,overcast clouds
229,Shakawe,BW,-18.3667,21.85,73.17,74,6,2.46,clear sky
230,Gerash,IR,27.6652,54.1371,78.51,10,0,11.27,clear sky
231,Mehran,IR,33.1222,46.1646,59.97,40,0,6.91,clear sky
232,Cockburn Town,TC,21.4612,-71.1419,77.61,76,43,16.11,scattered clouds
233,Xiaoweizhai,CN,26.1903,107.5125,51.48,89,100,6.85,overcast clouds
234,Nantucket,US,41.2835,-70.0995,45.0,82,75,10.36,broken clouds
235,Maturin,VE,9.75,-63.1767,70.0,98,87,4.03,overcast clouds
236,Oktyabrskoye,RU,43.0645,44.7417,39.34,65,75,11.18,broken clouds
237,Akdepe,TM,42.0551,59.3788,50.99,48,5,25.66,clear sky
238,Byron Bay,AU,-28.65,153.6167,68.94,88,100,7.16,light rain
239,Anju,KP,39.6178,125.6647,57.51,40,6,17.9,clear sky
240,Barra Dos Coqueiros,BR,-10.9089,-37.0386,75.22,94,40,0.0,scattered clouds
241,Pacific Grove,US,36.6177,-121.9166,51.91,88,0,5.75,clear sky
242,Coquimbo,CL,-29.9533,-71.3436,58.73,94,100,3.44,overcast clouds
243,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,98,3.67,overcast clouds
244,Ancud,CL,-41.8697,-73.8203,53.22,93,8,3.02,clear sky
245,Pangai,TO,-19.8,-174.35,80.71,75,45,15.43,scattered clouds
246,Kendari,ID,-3.945,122.4989,89.69,55,91,2.62,overcast clouds
247,Hermosillo,MX,29.0667,-110.9667,73.69,22,40,3.0,scattered clouds
248,Tuatapere,NZ,-46.1333,167.6833,56.32,86,83,3.18,broken clouds
249,Khuzhir,RU,53.1939,107.3397,31.33,48,96,8.19,overcast clouds
250,Ko Samui,TH,9.5357,99.9357,84.76,69,1,5.23,clear sky
251,Kyaka,TZ,-1.2522,31.4203,66.13,89,100,3.11,overcast clouds
252,Tilichiki,RU,60.4667,166.1,16.79,87,100,7.56,overcast clouds
253,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,93,17,22.32,few clouds
254,Gari,RU,59.4307,62.3497,24.3,63,100,12.12,overcast clouds
255,Dosso,NE,13.049,3.1937,81.48,12,99,15.73,overcast clouds
256,Sayansk,RU,54.1088,102.1648,28.36,73,63,10.58,broken clouds
257,Teknaf,BD,20.8624,92.3058,86.65,61,7,8.61,clear sky
258,Buraydah,SA,26.326,43.975,62.65,21,0,15.79,clear sky
259,Broken Hill,AU,-31.95,141.4333,81.91,27,2,15.59,clear sky
260,Cairns,AU,-16.9167,145.7667,81.07,86,100,9.22,overcast clouds
261,Isperih,BG,43.7167,26.8333,41.9,63,5,8.77,clear sky
262,Alta Floresta,BR,-9.8756,-56.0861,69.85,98,99,1.48,overcast clouds
263,Puerto Colombia,CO,10.9878,-74.9547,78.89,85,100,20.09,overcast clouds
264,Pointe-Noire,CG,-4.7761,11.8635,77.52,88,100,5.77,overcast clouds
265,Boysun,UZ,38.2061,67.1986,67.68,27,99,9.17,overcast clouds
266,Touho,NC,-20.7833,165.2333,79.54,72,84,11.92,broken clouds
267,Mananjary,MG,-21.2167,48.3333,84.52,68,10,6.73,clear sky
268,Shahr-E Babak,IR,30.1165,55.1186,66.88,13,0,26.57,clear sky
269,Waingapu,ID,-9.6567,120.2641,84.61,72,12,4.52,few clouds
270,Sao Sebastiao,BR,-23.76,-45.4097,76.73,82,100,2.35,overcast clouds
271,Manta,EC,-0.95,-80.7333,76.78,88,75,6.91,broken clouds
272,Borsa,RO,47.6553,24.6633,43.03,62,6,3.24,clear sky
273,Roma,US,43.2128,-75.4557,38.82,93,100,0.0,overcast clouds
274,Ramgarh,IN,23.6333,85.5167,95.05,8,11,17.27,few clouds
275,Kaseda,JP,31.4167,130.3167,63.91,82,82,20.36,broken clouds
276,Maple Creek,CA,49.9168,-109.4848,33.33,60,100,15.88,overcast clouds
277,Saldanha,ZA,-33.0117,17.9442,63.84,66,4,6.82,clear sky
278,Prince Rupert,CA,54.3161,-130.3201,42.44,90,100,4.52,overcast clouds
279,Marsh Harbour,BS,26.5412,-77.0636,71.08,53,100,11.36,overcast clouds
280,Port Blair,IN,11.6667,92.75,86.04,66,20,5.75,haze
281,Poya,NC,-21.35,165.15,77.67,81,98,6.13,overcast clouds
282,Bilibino,RU,68.0546,166.4372,1.96,95,100,3.83,overcast clouds
283,Moose Factory,CA,51.2585,-80.6094,30.18,93,100,5.75,mist
284,Erie,US,42.7667,-78.6664,39.25,84,52,5.01,broken clouds
285,Coahuayana,MX,18.7333,-103.6833,66.24,64,26,3.96,scattered clouds
286,Omsukchan,RU,62.5333,155.8,4.71,90,99,4.7,overcast clouds
287,Ittre,BE,50.644,4.2648,44.73,83,3,7.7,clear sky
288,Launceston,AU,-41.45,147.1667,71.24,62,5,14.97,clear sky
289,Kirakira,SB,-10.4544,161.9205,81.0,84,100,6.35,light rain
290,Filingue,NE,14.3521,3.3168,80.56,12,47,15.86,scattered clouds
291,Pangnirtung,CA,66.1451,-65.7125,16.47,94,100,6.8,light snow
292,Luderitz,NA,-26.6481,15.1594,64.62,66,0,7.76,clear sky
293,Zonguldak,TR,41.25,31.8333,32.85,99,100,4.23,overcast clouds
294,Ascension,US,30.2169,-90.9001,54.07,82,0,0.0,clear sky
295,Camacha,PT,33.0833,-16.3333,53.02,82,20,0.0,few clouds
296,Odweyne,SO,9.4092,45.064,80.74,39,15,6.15,few clouds
297,Deputatskiy,RU,69.3,139.9,-0.83,93,31,6.44,scattered clouds
298,Aberystwyth,GB,52.4155,-4.0829,45.82,79,0,8.34,clear sky
299,Kampot,KH,10.6167,104.1833,89.65,56,7,7.05,clear sky
300,Greenfield,US,42.9614,-88.0126,33.94,73,100,12.66,overcast clouds
301,Kalmunai,LK,7.4167,81.8167,85.35,70,51,10.78,broken clouds
302,Atambua,ID,-9.1061,124.8925,80.38,77,52,2.68,broken clouds
303,Rabo De Peixe,PT,37.8,-25.5833,58.51,94,75,27.63,broken clouds
304,Yar-Sale,RU,66.8333,70.8333,4.33,82,18,1.48,few clouds
305,Geraldton,AU,-28.7667,114.6,82.81,65,40,16.11,scattered clouds
306,Nea Playia,GR,40.2667,23.2,58.37,58,0,12.73,clear sky
307,Longyearbyen,SJ,78.2186,15.6401,3.04,72,20,5.75,few clouds
308,Kitui,KE,-1.367,38.0106,76.82,54,3,5.21,clear sky
309,Dzaoudzi,YT,-12.7887,45.2699,87.69,70,0,5.75,clear sky
